sentence                                                                 output                                                                                         answer                                                                                         edit distance
大泉町の日系ブラジル人たちが作ったチームも、美しい衣装でサンバを踊りました                                    おおいいずみまちのにっけいブらじるひとたちがさくったちーむも、うつくしいいしょうでさンバをおどりました                                            おおいずみまちのにっけいブラジルじんたちがつくったチームも、うつくしいいしょうでサンバをおどりました                                                        17
見に来た女性は「楽しい音楽で、私も体が動きそうになりました                                            みにらいたじょせいは「たのしいおんがくで、わしもていがうごきそうになりました                                                         みにきたじょせいは「たのしいおんがくで、わたしもからだがうごきそうになりました                                                                    9
踊りを近くで見ることができてよかったです」と話していました                                            おどりをちかくでみることができてよかったです」とはなししていました                                                              おどりをちかくでみることができてよかったです」とはなしていました                                                                           1
日系ブラジル人のチームの角田ルミさんは「台風が心配でしたが、イベントができてよかったです                             にっけいブらじるひとのちーむのすみたるみさんは「たいふうがしんぱいでしたが、いベンとができてよかったです                                           にっけいブラジルじんのチームのかくたルミさんは「たいふうがしんぱいでしたが、イベントができてよかったです                                                      24
みなさんが喜んでいて、うれしくなりました」と話していました                                            みなさんがよろこんでいて、うれしくなりました」とはなししていました                                                              みなさんがよろこんでいて、うれしくなりました」とはなしていました                                                                           1
スペインのカタルーニャ州の議会は２７日、スペインから独立すると発表しました                                    すぺいンのかたるーにャすのぎかいはにじゅうしちにち、すぺいンからどくりつするとはっぴょうしました                                               スペインのカタルーニャしゅうのぎかいは２７にち、スペインからどくりつするとはっぴょうしました                                                            32
２９日、カタルーニャ州のバルセロナで独立に反対するデモがありました                                        にじゅうくにち、かたるーにャすのバるせろなでどくりつにたんたいするでもがありました                                                      ２９にち、カタルーニャしゅうのバルセロナでどくりつにはんたいするデモがありました                                                                  33
警察によると、３０万人ぐらいが集まりました                                                    けいさつによると、さん０ばんにんぐらいがあつまりました                                                                    けいさつによると、３０まんにんぐらいがあつまりました                                                                                 5
集まった人たちは、スペインの旗を持って「カタルーニャはスペインの一部だ」などと言って、スペインの歌を歌いながら歩きました             しゅうまったひとたちは、すぺいンのはたを持って「かたるーにャはすぺいンのいちぶだ」などといって、すぺいンのうたをうたいながらあるきました                           あつまったひとたちは、スペインのはたをもって「カタルーニャはスペインのいちぶだ」などといって、スペインのうたをうたいながらあるきました                                       33
スペインの政府は、独立は憲法に違反していると言って、カタルーニャ州の首相をやめさせて、国が州の政治を行うつもりです                すぺいンのせいふは、どくりつはけんぽうにいへんしているといって、かたるーにャすのしゅしょうをやめさせて、くにがすのせいじをおこなうつもりです                         スペインのせいふは、どくりつはけんぽうにいはんしているといって、カタルーニャしゅうのしゅしょうをやめさせて、くにがしゅうのせいじをおこなうつもりです                                24
しかし、カタルーニャ州には絶対に独立すると言っている人もいます                                          しかし、かたるーにャすにはぜったいにどくりつするといっているひともいます                                                           しかし、カタルーニャしゅうにはぜったいにどくりつするといっているひともいます                                                                    12
スペインの新聞は、調査によると、独立に賛成している政党がいいという人は４２．５％、反対している政党がいいという人は４３．４％だったと伝えました  すぺいンのしんぶんは、ちょうさによると、どくりつにさんせいしているせいとうがいいというひとはしアル．ご％、たんたいしているせいとうがいいというひとはしさん．し％だったとつたえました     スペインのしんぶんは、ちょうさによると、どくりつにさんせいしているせいとうがいいというひとは４２．５％、はんたいしているせいとうがいいというひとは４３．４％だったとつたえました                  22
カタルーニャ州の人の中でも意見が分かれています                                                  かたるーにャすのひとのなかでもいけんがわかれています                                                                     カタルーニャしゅうのひとのなかでもいけんがわかれています                                                                              12
ヨーロッパで２９日、たくさんの雨が降って強い風が吹きました                                            よーろッぱでにじゅうくにち、たくさんのあめがくだってつよいふうがふきました                                                          ヨーロッパで２９にち、たくさんのあめがふってつよいかぜがふきました                                                                         20
このため、ドイツとポーランドとチェコで、川で溺れた人や風で倒れた木に当たった人などがいました                           このため、どいつとぽーらンどとちェこで、かわで溺れたひとやふうでたおれたきにとうたったひとなどがいました                                           このため、ドイツとポーランドとチェコで、かわでおぼれたひとやかぜでたおれたきにあたったひとなどがいました                                                      26
５人が亡くなりました                                                               ごひとが亡くなりました                                                                                    ５にんがなくなりました                                                                                                8
ドイツのハンブルクでは川の水があふれて、車が動くことができなくなりました                                     どいつのはンブるくではかわのみずがあふれて、しゃがうごくことができなくなりました                                                       ドイツのハンブルクではかわのみずがあふれて、くるまがうごくことができなくなりました                                                                 17
たくさんの人が観光に来る魚の市場も、水が入ったため閉めました                                           たくさんのひとがかんこうにきたるさかなのいちばも、みずがしおったため閉めました                                                        たくさんのひとがかんこうにくるさかなのいちばも、みずがはいったためしめました                                                                     9
ドイツのいろいろな所で電車の運転をやめました                                                   どいつのいろいろなところででんしゃのうんてんをやめました                                                                   ドイツのいろいろなところででんしゃのうんてんをやめました                                                                               6
１１月５日から７日まで、アメリカのトランプ大統領が日本に来ます                                          じゅういちがついつかからなのかまで、あめりかのとらンぷだいとうりょうがにほんにらいます                                                    １１がついつかからなのかまで、アメリカのトランプだいとうりょうがにっぽんにきます                                                                  27
東京メトロは１０月３０日から、東京の地下鉄の一部の駅でコインロッカーを使うことができないようにしています                     とうきょうめとろはじゅうがつさんじゅうにちから、とうきょうのちかてつのいちぶのえきでこいンろッかーをつかうことができないようにしています                           とうきょうメトロは１０がつ３０にちから、とうきょうのちかてつのいちぶのえきでコインロッカーをつかうことができないようにしています                                          26
ゴミ箱は、東京の全部の駅で使うことができないようにします                                             ゴミばこ(ゴミ箱)は、とうきょうのぜんぶのえきでつかうことができないようにします                                                       ゴミばこは、とうきょうのぜんぶのえきでつかうことができないようにします                                                                        5
コインロッカーやゴミ箱の中に爆弾などを置くことができないようにするためです                                    こいンろッかーやゴミばこ(ゴミ箱)のうちにばくだんなどをおくことができないようにするためです                                                 コインロッカーやゴミばこのなかにばくだんなどをおくことができないようにするためです                                                                 17
駅にいた男性は「テロが起こらないようにするためには、不便でもしかたがないと思います」と話していました                       えきにいただんせいは「てろが起こらないようにするためには、ふびんでもしかたがないとおもいます」とはなししていました                                      えきにいただんせいは「テロがおこらないようにするためには、ふべんでもしかたがないとおもいます」とはなしていました                                                   9
ＪＲ東日本も１１月４日から、東京の一部の駅でコインロッカーやゴミ箱を使うことを禁止します                             ジェイアールひがしにほんもじゅういちがつよっかから、とうきょうのいちぶのえきでこいンろッかーやゴミばこ(ゴミ箱)をつかうことをきんしします                          ＪＲひがしにほんも１１がつよっかから、とうきょうのいちぶのえきでコインロッカーやゴミばこをつかうことをきんしします                                                 28
東京メトロやＪＲ東日本は、駅や電車の中で危険がないかどうかチェックを厳しくします                                 とうきょうめとろやジェイアールひがしにほんは、えきやでんしゃのうちできけんがないかどうかちェッくをげんしくします                                       とうきょうメトロやＪＲひがしにほんは、えきやでんしゃのなかできけんがないかどうかチェックをきびしくします                                                      26
ユネスコは、世界の古い文書や絵などを「世界の記憶」にして守っています                                       ゆねすこは、せかいのふるいぶんしょやえなどを「せかいのきおく」にしてもりっています                                                      ユネスコは、せかいのふるいぶんしょやえなどを「せかいのきおく」にしてまもっています                                                                 10
ユネスコは、日本と韓国の団体が一緒に申し込んだ「朝鮮通信使」の資料と、日本が申し込んだ「上野三碑」を「世界の記憶」にすると決めました       ゆねすこは、にほんとからくにのだんたいがいっしょにもうし込んだ「ちょうせんつうしんし」のしりょうと、にほんがもうし込んだ「じょうのさんいしぶみ」を「せかいのきおく」にするときめました    ユネスコは、にっぽんとかんこくのだんたいがいっしょにもうしこんだ「ちょうせんつうしんし」のしりょうと、にっぽんがもうしこんだ「こうづけさんぴ」を「せかいのきおく」にするときめました                33
朝鮮通信使は、江戸時代に朝鮮の国王が手紙などを届けるために日本に送った人たちです                                 ちょうせんつうしんしは、えどじだいにちょうせんのこくおうがてがみなどをとどけるためににほんに送ったひとたちです                                        ちょうせんつうしんしは、えどじだいにちょうせんのこくおうがてがみなどをとどけるためににっぽんにおくったひとたちです                                                  6
朝鮮通信使は日本に１２回来て、多いときは学者や医者、画家など５００人ぐらいが日本人と交流しました                         ちょうせんつうしんしはにほんにいちにかいらいて、おおいときはがくしゃやいしゃ、がかなどご００ひとぐらいがにほんじんとこもごもながしました                           ちょうせんつうしんしはにっぽんに１２かいきて、おおいときはがくしゃやいしゃ、がかなど５００にんぐらいがにっぽんじんとこうりゅうしました                                       29
「上野三碑」は、７世紀から８世紀に群馬県高崎市で作られた３つの石碑です                                      「じょうのさんいしぶみ」は、しちせいきからはちせいきにぐんまけんたかみさきしでさくられたみっつのせきひです                                          「こうづけさんぴ」は、７せいきから８せいきにぐんまけんたかさきしでつくられた３つのせきひです                                                            23
石碑から、東アジアとの交流や社会の様子がわかります                                                せきひから、ひがしアジアとのこうりゅうやしゃかいのようすがわかります                                                             せきひから、ひがしアジアとのこうりゅうやしゃかいのようすがわかります                                                                         0
スイスにある「世界経済フォーラム」は、毎年世界の国で男性と女性の間にどのぐらい差があるか、政治、経済、教育、健康の４つについて調べています    すいすにある「せかいけいざいフォーラム」は、まいとしせかいのくにでだんせいとじょせいのあいだにどのぐらいさしがあるか、せいじ、けいざい、きょういく、けんこうのよっつについてしらべています  スイスにある「せかいけいざいフォーラム」は、まいとしせかいのくにでだんせいとじょせいのあいだにどのぐらいさがあるか、せいじ、けいざい、きょういく、けんこうの４つについてしらべています               10
そして、ランキングを発表しています                                                        そして、らンきンぐをはっぴょうしています                                                                           そして、ランキングをはっぴょうしています                                                                                       6
今年は１４４の国を調べました                                                           ことしはいちししのくにをしらべました                                                                             ことしは１４４のくにをしらべました                                                                                          7
差が小さい国の１番は９年続けてアイスランドでした                                                 さしがちいさいくにのいちばんはきゅうとせつづけてあいすらンどでした                                                              さがちいさいくにの１ばんは９ねんつづけてアイスランドでした                                                                             22
２番はノルウェーで、３番はフィンランドでした                                                   にばんはのるうェーで、さんつがいはふィンらンどでした                                                                     ２ばんはノルウェーで、３ばんはフィンランドでした                                                                                  20
アメリカは４９番、中国は１００番でした                                                      あめりかはしきゅうつがい、ちゅうごくはいち００つがいでした                                                                  アメリカは４９ばん、ちゅうごくは１００ばんでした                                                                                  27
日本は今まででいちばん低い１１４番でした                                                     にほんはいままででいちばんひくいいちいちしつがいでした                                                                    にっぽんはいままででいちばんひくい１１４ばんでした                                                                                 16
政治家の女性が少なくて、男性と女性で収入が違うため、政治と経済で男性と女性の差は大きいままです                          せいじかのじょせいがしょうなくて、だんせいとじょせいでしゅうにゅうがちがうため、せいじとけいざいでだんせいとじょせいのさしはおおきいままです                         せいじかのじょせいがすくなくて、だんせいとじょせいでしゅうにゅうがちがうため、せいじとけいざいでだんせいとじょせいのさはおおきいままです                                       6
世界経済フォーラムは、世界の国の男性と女性の差は、教育では小さくなっているが、政治や経済ではまだ大きいと考えています               せかいけいざいフォーラムは、せかいのくにのだんせいとじょせいのさしは、きょういくではちいさくなっているが、せいじやけいざいではまだおおきいとかんがえています                 せかいけいざいフォーラムは、せかいのくにのだんせいとじょせいのさは、きょういくではちいさくなっているが、せいじやけいざいではまだおおきいとかんがえています                              1
そして、特に経済で男性と女性の差をなくさなければならないと言っています                                      そして、とくにけいざいでだんせいとじょせいのさしをなくさなければならないといっています                                                    そして、とくにけいざいでだんせいとじょせいのさをなくさなければならないといっています                                                                 1
イギリスなどの研究グループは、インドネシアのスマトラ島の森で、新しい種類のオランウータンが見つかったと発表しました                いぎりすなどのけんきゅうグループは、いンどねしあのすまとらしまのもりで、あたらしいしゅるいのおらンうーたンがみつかったとはっぴょうしました                          イギリスなどのけんきゅうグループは、インドネシアのスマトラとうのもりで、あたらしいしゅるいのオランウータンがみつかったとはっぴょうしました                                     36
このオランウータンは「タパヌリオランウータン」という名前になりました                                       このおらンうーたンは「たぱぬりおらンうーたン」というめいまえになりました                                                           このオランウータンは「タパヌリオランウータン」というなまえになりました                                                                       27
スマトラ島の別の場所にいる種類よりも、頭の骨が小さくて、体の毛が黄色に近い茶色で、遺伝子の並び方が違います                    すまとらしまのわけのばしょにいるしゅるいよりも、こうべのほねがちいさくて、ていのもうがきいろにちかいちゃいろで、いでんしのならびさまがちがいます                       スマトラとうのべつのばしょにいるしゅるいよりも、あたまのほねがちいさくて、からだのけがきいろにちかいちゃいろで、いでんしのならびかたがちがいます                                  32
研究グループは、人が森の木をたくさん切ったりしていて、このオランウータンは８００頭以下に減っていると考えています                 けんきゅうグループは、ひとがもりのきをたくさんせつったりしていて、このおらンうーたンははち００こうべいかにげんっているとかんがえています                           けんきゅうグループは、ひとがもりのきをたくさんきったりしていて、このオランウータンは８００とういかにへっているとかんがえています                                          20
このため、減らないようにすることが必要だと言っています                                              このため、げんらないようにすることがひつようだといっています                                                                 このため、へらないようにすることがひつようだといっています                                                                              3
人間に近い猿の仲間では、約９０年新しい種類は見つかっていませんでした                                       ひとあいだにちかいましらのなかまでは、やくきゅう０とせあたらしいしゅるいはみつかっていませんでした                                              にんげんにちかいさるのなかまでは、やく９０ねんあたらしいしゅるいはみつかっていませんでした                                                             22
京都大学の専門家は「新しい種類のオランウータンが見つかってびっくりしました                                    きょうとだいがくのせんもんかは「あたらしいしゅるいのおらンうーたンがみつかってびっくりしました                                                きょうとだいがくのせんもんかは「あたらしいしゅるいのオランウータンがみつかってびっくりしました                                                            8
このオランウータンの社会や生活を調べると、新しいことがわかるかもしれません」と話しています                            このおらンうーたンのしゃかいやせいかつをしらべると、あたらしいことがわかるかもしれません」とはなししています                                         このオランウータンのしゃかいやせいかつをしらべると、あたらしいことがわかるかもしれません」とはなしています                                                      9
アメリカのトランプ大統領は今月アジアの国をまわります                                               あめりかのとらンぷだいとうりょうはこんげつあじあのくにをまわります                                                              アメリカのトランプだいとうりょうはこんげつアジアのくにをまわります                                                                         20
５日、最初の国の日本に来ました                                                          いつか、さいしょのくにのにほんにらいました                                                                          いつか、さいしょのくにのにっぽんにきました                                                                                      6
トランプ大統領が日本に来るのは、大統領になってから初めてです                                           とらンぷだいとうりょうがにほんにきたるのは、だいとうりょうになってからはじめてです                                                      トランプだいとうりょうがにっぽんにくるのは、だいとうりょうになってからはじめてです                                                                 12
５日、トランプ大統領は安倍総理大臣と埼玉県のゴルフ場で会いました                                         いつか、とらンぷだいとうりょうはやすばいそうりだいじんとさいたまけんのゴルフじょうでかいいました                                               いつか、トランプだいとうりょうはあべそうりだいじんとさいたまけんのゴルフじょうであいました                                                             15
２人はゴルフの松山英樹選手と一緒にゴルフをしました                                                ふたりはごるふのまつむれはなぶさきせんしゅといっしょにごるふをしました                                                            ふたりはゴルフのまつやまひできせんしゅといっしょにゴルフをしました                                                                         22
トランプ大統領と安倍総理大臣は、ゴルフをしながら北朝鮮や貿易の問題についても話しました                              とらンぷだいとうりょうとやすばいそうりだいじんは、ごるふをしながらきたちょうせんやぼうえきのもんだいについてもはなししました                                 トランプだいとうりょうとあべそうりだいじんは、ゴルフをしながらきたちょうせんやぼうえきのもんだいについてもはなしました                                               19
６日、トランプ大統領はメラニア夫人と一緒に皇居で天皇陛下と皇后さまと会いました                                  むいか、とらンぷだいとうりょうはめらにあふじんといっしょにこうきょでてんのうへいかとこうごうさまとかいいました                                        むいか、トランプだいとうりょうはメラニアふじんといっしょにこうきょでてんのうへいかとこうごうさまとあいました                                                    17
そのあと、外国の客を迎える迎賓館に行って、安倍総理大臣と会いました                                        そのあと、がいこくのまろうどをむかえるげいひんかんにこうって、やすばいそうりだいじんとかいいました                                              そのあと、がいこくのきゃくをむかえるげいひんかんにいって、あべそうりだいじんとあいました                                                              19
そして、北朝鮮の問題などについて話しました                                                    そして、きたちょうせんのもんだいなどについてはなししました                                                                  そして、きたちょうせんのもんだいなどについてはなしました                                                                               1
トランプ大統領は、７日に日本を出発して韓国、中国、ベトナム、フィリピンに行くことになっています                          とらンぷだいとうりょうは、なのかににほんをしゅっぱつしてからくに、ちゅうごく、ベとなむ、ふィりぴンにいくことになっています                                  トランプだいとうりょうは、なのかににっぽんをしゅっぱつしてかんこく、ちゅうごく、ベトナム、フィリピンにいくことになっています                                            25
１１月５日は、国連が決めた「世界津波の日」です                                                  じゅういちがついつかは、こくれんがきめた「せかいつなみのひ」です                                                               １１がついつかは、こくれんがきめた「せかいつなみのひ」です                                                                              7
世界のいろいろな所で津波について考える行事がありました                                              せかいのいろいろなところでつなみについてかんがえるぎょうじがありました                                                            せかいのいろいろなところでつなみについてかんがえるぎょうじがありました                                                                        0
和歌山県広川町では、新しいシステムの試験がありました                                               わかやまけん広かわまちでは、あたらしいしすてむのしけんがありました                                                              わかやまけんひろがわちょうでは、あたらしいシステムのしけんがありました                                                                       16
試験では、津波のときみんなが逃げてくる場所にアンテナやパソコンを置いて、人工衛星を使って国のコンピューターに情報を送りました           しけんでは、つなみのときみんながにげてくるばしょにあンてなやぱそこンを置いて、じんこうえいせいをしってくにのこンぴューたーにじょうほうをおくりました                     しけんでは、つなみのときみんながにげてくるばしょにアンテナやパソコンをおいて、じんこうえいせいをつかってくにのコンピューターにじょうほうをおくりました                               23
逃げてきた人の細かい情報が早くわかって、助けに行く人の役に立ちます                                        にげてきたひとのこまかいじょうほうがはやくわかって、たすけにいくひとのやくにたちます                                                     にげてきたひとのこまかいじょうほうがはやくわかって、たすけにいくひとのやくにたちます                                                                 0
宮城県多賀城市では、６年前に津波が海から川に入ってきて川の水があふれました                                    みやぎけんたがじょうしでは、ろくとせまえにつなみがうみからかわにしおってきてかわのみずがあふれました                                             みやぎけんたがじょうしでは、６ねんまえにつなみがうみからかわにはいってきてかわのみずがあふれました                                                         11
このため、川から遠くて高い建物にすぐ逃げる練習をしました                                             このため、かわからとおくてたかいたてものにすぐにげるれんしゅうをしました                                                           このため、かわからとおくてたかいたてものにすぐにげるれんしゅうをしました                                                                       0
タイでも１３年前に大きな津波があって、大勢の人が亡くなりました                                          たいでもいちさんねんまえにおおきなつなみがあって、おおぜいのひとが亡くなりました                                                       タイでも１３ねんまえにおおきなつなみがあって、おおぜいのひとがなくなりました                                                                    12
プーケットでは、亡くなった人のために祈る式が今年もありました                                           ぷーけッとでは、亡くなったひとのためにいのるしきがことしもありました                                                             プーケットでは、なくなったひとのためにいのるしきがことしもありました                                                                         8
友達が亡くなったという人は「津波のことを忘れないために来ました」と話していました                                 ともだちが亡くなったというひとは「つなみのことを忘れないためにらいました」とはなししていました                                                ともだちがなくなったというひとは「つなみのことをわすれないためにきました」とはなしていました                                                             9
アメリカのトランプ大統領と安倍総理大臣は６日、北朝鮮に拉致された人と家族１７人に東京で会いました                         あめりかのとらンぷだいとうりょうとやすばいそうりだいじんはむいか、きたちょうせんにらちされたひととかぞくいちしちひとにとうきょうでかいいました                        アメリカのトランプだいとうりょうとあべそうりだいじんはむいか、きたちょうせんにらちされたひととかぞく１７にんにとうきょうであいました                                        33
家族たちは、母親や妹、娘などが北朝鮮に連れて行かれてから長い間悲しんでいると大統領に伝えました                          かぞくたちは、ははおややいもうと、むすめなどがきたちょうせんにつれてこうかれてからながいあいだひしんでいるとだいとうりょうにつたえました                           かぞくたちは、ははおややいもうと、むすめなどがきたちょうせんにつれていかれてからながいあいだかなしんでいるとだいとうりょうにつたえました                                       6
トランプ大統領は「悲しい話をたくさん聞きました                                                  とらンぷだいとうりょうは「かなしいはなしをたくさんききました                                                                 トランプだいとうりょうは「かなしいはなしをたくさんききました                                                                             6
北朝鮮に拉致された人たちが家族のところに戻ることができるように、安倍総理大臣と一緒に努力します」と話しました                   きたちょうせんにらちされたひとたちがかぞくのところにもとることができるように、やすばいそうりだいじんといっしょにどりょくします」とはなししました                       きたちょうせんにらちされたひとたちがかぞくのところにもどることができるように、あべそうりだいじんといっしょにどりょくします」とはなしました                                      9
曽我ひとみさんは１９７８年に母親と一緒に北朝鮮に拉致されました                                          ひいわがひとみさんはいちきゅうしちはちとせにははおやといっしょにきたちょうせんにらちされました                                                そがひとみさんは１９７８ねんにははおやといっしょにきたちょうせんにらちされました                                                                  21
ひとみさんは２００２年に日本に戻ることができましたが、母親は戻っていません                                    ひとみさんはアル００アルとせににほんにもとることができましたが、ははおやは戻っていません                                                   ひとみさんは２００２ねんににっぽんにもどることができましたが、ははおやはもどっていません                                                              18
ひとみさんは、母親の写真を大統領に見せて「母は８６歳になるので、１日も早く帰ってきてほしいです」と話しました                   ひとみさんは、ははおやのしゃしんをだいとうりょうにみせて「ははははちろくとせになるので、ついたちもはやく帰ってきてほしいです」とはなししました                        ひとみさんは、ははおやのしゃしんをだいとうりょうにみせて「ははは８６さいになるので、１にちもはやくかえってきてほしいです」とはなしました                                      19
